service,group,item,price_min,price_max,display_price,add_on,popular,custom_quote,estimated_labor_min_minutes,estimated_labor_max_minutes,pricing_bucket,target_platform_gross,standalone_rule,recommended_action,assumption_notes
Furniture Assembly,Home Office & Study,File cabinet (2-4 drawer),75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Validate after launch.
Furniture Assembly,Dining & Kitchen,Dining table (standard),79,79,$79,No,No,No,60,110,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard furniture build.
Furniture Assembly,Dining & Kitchen,Dining table (extendable / large),109,109,$109,No,No,No,60,110,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Standard furniture build.
Furniture Assembly,Dining & Kitchen,Dining chairs (per 2 chairs),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Dining & Kitchen,Dining chairs (set of 4-6),75,95,$75-$95,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Dining & Kitchen,Bar stool (per 2 stools),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Dining & Kitchen,Kitchen island (freestanding),95,95,$95,No,No,No,60,110,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard furniture build.
Furniture Assembly,Dining & Kitchen,China cabinet / hutch,109,109,$109,No,No,No,75,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Anchoring add-on may apply.
Furniture Assembly,Dining & Kitchen,Buffet / sideboard,85,85,$85,No,No,No,60,110,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard furniture build.
Furniture Assembly,Living Room,Coffee table (simple),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Living Room,Coffee table (lift-top / storage),79,79,$79,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Living Room,Side / end table,75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Living Room,TV stand / media console,75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Validate after launch.
Furniture Assembly,Living Room,Entertainment center (large),125,125,$125,No,No,No,90,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,May need wall anchoring.
Furniture Assembly,Living Room,Console table,75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Outdoor & Patio,Outdoor dining set (table + 4 chairs),109,109,$109,No,No,No,75,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Package count matters.
Furniture Assembly,Outdoor & Patio,Outdoor dining set (table + 6+ chairs),139,139,$139,No,No,No,75,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Package count matters.
Furniture Assembly,Outdoor & Patio,Outdoor lounge set (sofa + 2 chairs),125,125,$125,No,No,No,60,100,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Standard furniture build.
Furniture Assembly,Outdoor & Patio,Adirondack / Adirondack set (per 2),75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Validate after launch.
Furniture Assembly,Outdoor & Patio,Patio umbrella + base,75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Outdoor & Patio,Pergola / gazebo (kit assembly),225,325,$225-$325,No,No,No,180,420,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Likely premium/complex; may require custom quote.
Furniture Assembly,Outdoor & Patio,Fire pit (assembly only),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Outdoor & Patio,Grill (gas / charcoal assembly),85,85,$85,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Model complexity matters.
Furniture Assembly,Outdoor & Patio,Storage shed (small kit),225,325,$225-$325,No,No,No,180,420,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Likely premium/complex; may require custom quote.
Furniture Assembly,Add-ons,Furniture disposal (per piece),45,45,$45,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Depends on stairs, parking, and volume."
Furniture Assembly,Add-ons,Move to another room (per piece),29,29,$29,Yes,No,No,10,25,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-address add-on only.
Furniture Assembly,Add-ons,Broken hardware repair / replacement,29,29,$29,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Furniture Assembly,Add-ons,Rush / same-day assembly,39,39,$39,Yes,No,No,0,0,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Pricing modifier, not labor by itself."
TV Mounting,TV Mounting by Size,"TV up to 40"" (standard wall)",75,75,$75,No,No,No,40,65,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
TV Mounting,TV Mounting by Size,"TV 41""-55"" (standard wall)",79,79,$79,No,Yes,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Standard mount range.
TV Mounting,TV Mounting by Size,"TV 56""-65"" (standard wall)",89,89,$89,No,No,No,55,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard mount range.
TV Mounting,TV Mounting by Size,"TV 66""-75"" (standard wall)",99,99,$99,No,No,No,65,110,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wall type matters.
TV Mounting,TV Mounting by Size,"TV 76""-85"" (standard wall)",115,115,$115,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Large TV; wall type matters.
TV Mounting,TV Mounting by Size,"TV 86""+ / commercial display",135,175,$135-$175,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Large display; consider two-person or custom quote.
TV Mounting,TV Mounting by Size,Second TV (same visit),25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Wall Type Upgrades,Brick or concrete wall,45,45,$45,Yes,No,No,20,50,Standard,$35-$50 before overhead,Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Complexity add-on.
TV Mounting,Wall Type Upgrades,Tile wall,45,45,$45,Yes,No,No,20,50,Standard,$35-$50 before overhead,Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Complexity add-on.
TV Mounting,Wall Type Upgrades,Steel stud / metal framing,35,35,$35,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Wall Type Upgrades,Above fireplace mount,55,55,$55,Yes,No,No,20,50,Standard,$35-$50 before overhead,Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Complexity add-on.
TV Mounting,Cable & Cord Management,"Surface cord cover (raceway, up to 6 ft)",75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Can be add-on or standalone with minimum.
TV Mounting,Cable & Cord Management,In-wall cord concealment,99,99,$99,No,Yes,No,60,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wall cavity and code-safe cord kit matter.
TV Mounting,Cable & Cord Management,In-wall cord concealment (brick / concrete),115,115,$115,No,No,No,60,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wall cavity and code-safe cord kit matter.
TV Mounting,Cable & Cord Management,Cable management box / hub install,75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Can be add-on or standalone with minimum.
TV Mounting,Shelves & Wall Items,"Floating shelf - single (up to 36"")",75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,"Floating shelf - single (37""-60"")",79,79,$79,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,Floating shelves - set of 3,115,115,$115,No,No,No,75,130,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Layout time matters.
TV Mounting,Shelves & Wall Items,Floating shelves - set of 5+,155,155,$155,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Layout and wall type matter.
TV Mounting,Shelves & Wall Items,"Heavy-duty shelf (sawtooth / bracket, per shelf)",75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,Gallery wall - up to 5 pieces,75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,Gallery wall - 6-10 pieces,105,105,$105,No,Yes,No,60,100,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Layout time matters.
TV Mounting,Shelves & Wall Items,Gallery wall - 11-20 pieces,155,155,$155,No,No,No,75,130,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Layout time matters.
TV Mounting,Shelves & Wall Items,Single framed picture / mirror (up to 30 lbs),75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,Heavy mirror / artwork (30-80 lbs),75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Shelves & Wall Items,Full-length mirror (floor lean / anchor),75,75,$75,No,No,No,35,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect small wall jobs with minimum booking.
TV Mounting,Window Treatments,Curtain rod - 1 window,75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Window Treatments,Curtain rod - 2 windows,85,85,$85,No,Yes,No,50,85,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Minimum booking or bundle.
TV Mounting,Window Treatments,Curtain rod - 3 windows,110,110,$110,No,No,No,70,110,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Multi-window route.
TV Mounting,Window Treatments,Curtain rod - 4 windows,135,135,$135,No,No,No,90,140,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Multi-window route.
TV Mounting,Window Treatments,Curtain rod - 5+ windows (per additional),25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Window Treatments,Double curtain rod (per window),15,15,$15,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Window Treatments,Blind install - 1 window,75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Window Treatments,Blind install - per additional window,25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Window Treatments,Cellular shade / roller shade install (per window),75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Window Treatments,Motorized blind / shade install (per window),79,79,$79,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Mounting Add-ons,TV mount hardware (if not provided),25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Mounting Add-ons,HDMI / cable routing to components,25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Mounting Add-ons,Soundbar mount (below/above TV),35,35,$35,Yes,No,No,20,40,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit mounting add-on.
TV Mounting,Mounting Add-ons,Patch drywall after unmount (small),45,45,$45,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Smart Home,Climate Control,"Smart thermostat - Nest, Ecobee, Honeywell",79,79,$79,No,Yes,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,"Smart thermostat (no C-wire, adapter needed)",99,99,$99,No,No,No,60,105,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wiring can change scope.
Smart Home,Climate Control,Smart vent install (per vent),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,Smart AC controller (window / mini-split),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,Whole-home thermostat multi-zone (per zone),75,75,$75,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,"Smart doorbell - Ring, Nest, Eufy",85,85,$85,No,Yes,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,Smart doorbell (hardwired replacement),95,95,$95,No,No,No,50,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Existing wiring matters.
Smart Home,Security & Access,Smart lock - deadbolt replacement,95,95,$95,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Door alignment can add time.
Smart Home,Security & Access,Smart lock - lever handle,95,95,$95,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Door alignment can add time.
Smart Home,Security & Access,Smart lock + deadbolt combo,135,135,$135,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Door alignment can add time.
Smart Home,Security & Access,Smart garage door opener / controller,75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,Keypad entry install (outdoor),75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
Smart Home,Cameras,Indoor security camera (plug-in),75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Cameras,Indoor camera (mount + cable manage),79,79,$79,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Cameras,Outdoor camera - eave / soffit mount,95,95,$95,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall/eave material matters.
Smart Home,Cameras,Outdoor camera - brick / concrete,95,95,$95,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall/eave material matters.
Smart Home,Cameras,Camera system - 2 cameras,135,135,$135,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Mounting plus app setup.
Smart Home,Cameras,Camera system - 4 cameras,225,225,$225,No,Yes,No,150,270,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Route wires/app setup can extend time.
Smart Home,Cameras,Camera system - 6+ cameras,295,375,$295-$375,No,No,No,180,360,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,High variance; likely premium/custom.
Smart Home,Cameras,NVR / DVR setup + camera config,95,95,$95,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
Smart Home,Lighting,"Smart bulb install + app setup (per room, up to 4 bulbs)",75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Lighting,Smart switch install (per switch),75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Electrical skill and wiring risk matter.
Smart Home,Lighting,Smart dimmer install (per switch),79,79,$79,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Electrical skill and wiring risk matter.
Smart Home,Lighting,Smart plug install + setup (per 2 plugs),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Lighting,LED strip lighting - per 10 ft run,75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Surface prep and placement matter.
Smart Home,Lighting,Outdoor smart lighting (per fixture),79,79,$79,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
